suite	lane	outcome	replay	events
cashmere	crush-alethe	reconstruction-failed	certificate-error	29
cashmere	crush-core	core-reconstructed	not-attempted	19
cashmere	crush-core	pre-reconstructed	not-attempted	5
cashmere	crush-core	selected-fact	not-attempted	5
cashmere	crush-portfolio	core-reconstructed	certificate-error	19
cashmere	crush-portfolio	pre-reconstructed	not-attempted	5
cashmere	crush-portfolio	selected-fact	not-attempted	5
cashmere	crush-verify	pre-reconstructed	not-attempted	1
cashmere	crush-verify	selected-fact	not-attempted	5
cashmere	crush-verify	verified	not-requested	23
velvet	crush-alethe	alethe-reconstructed	success	27
velvet	crush-alethe	reconstruction-failed	certificate-error	263
velvet	crush-alethe	reconstruction-failed	rule-gap	28
velvet	crush-alethe	reconstruction-failed	term-gap	15
velvet	crush-alethe	sat	not-attempted	1
velvet	crush-alethe	unknown	not-attempted	25
velvet	crush-core	core-reconstructed	not-attempted	269
velvet	crush-core	pre-reconstructed	not-attempted	27
velvet	crush-core	reconstruction-failed	not-attempted	6
velvet	crush-core	sat	not-attempted	1
velvet	crush-core	selected-fact	not-attempted	33
velvet	crush-core	unknown	not-attempted	20
velvet	crush-portfolio	alethe-reconstructed	success	26
velvet	crush-portfolio	core-reconstructed	certificate-error	212
velvet	crush-portfolio	core-reconstructed	rule-gap	21
velvet	crush-portfolio	core-reconstructed	term-gap	9
velvet	crush-portfolio	pre-reconstructed	not-attempted	27
velvet	crush-portfolio	reconstruction-failed	certificate-error	6
velvet	crush-portfolio	sat	not-attempted	1
velvet	crush-portfolio	selected-fact	not-attempted	33
velvet	crush-portfolio	unknown	not-attempted	21
velvet	crush-verify	pre-reconstructed	not-attempted	7
velvet	crush-verify	sat	not-attempted	1
velvet	crush-verify	selected-fact	not-attempted	33
velvet	crush-verify	unknown	not-attempted	22
velvet	crush-verify	verified	not-requested	296
